,날짜,영화명,평점
0,20200801,가버나움,9.59
1,20200801,위대한 쇼맨,9.40
2,20200801,알라딘,9.38
3,20200801,소년시절의 너,9.35
4,20200801,에이리언 2,9.35
5,20200801,다크 나이트,9.34
6,20200801,시네마 천국,9.31
7,20200801,패왕별희 디 오리지널,9.31
8,20200801,우리들,9.25
9,20200801,피아니스트의 전설,9.25
10,20200801,톰보이,9.22
11,20200801,스타 이즈 본,9.18
12,20200801,샤인,9.08
13,20200801,타오르는 여인의 초상,9.05
14,20200801,미스비헤이비어,9.05
15,20200801,미져리,9.02
16,20200801,"안녕, 나의 소울메이트",8.97
17,20200801,온워드: 단 하루의 기적,8.97
18,20200801,미션,8.92
19,20200801,시티 오브 갓,8.84
20,20200801,미녀와 야수,8.78
21,20200801,소공녀,8.77
22,20200801,벌새,8.76
23,20200801,카사블랑카,8.71
24,20200801,베스트 오퍼,8.64
25,20200801,카메라를 멈추면 안 돼!,8.64
26,20200801,트로이,8.62
27,20200801,라라랜드,8.60
28,20200801,플라이,8.60
29,20200801,찬실이는 복도 많지,8.60
30,20200801,내일을 위한 시간,8.55
31,20200801,헤이트풀8,8.45
32,20200801,캐리,8.43
33,20200801,울프 콜,8.40
34,20200801,소리꾼,8.35
35,20200801,다가오는 것들,8.33
36,20200801,카페 벨에포크,8.32
37,20200801,밤쉘: 세상을 바꾼 폭탄선언,8.24
38,20200801,원 데이,8.22
39,20200801,로마 위드 러브,8.18
40,20200801,클라우즈 오브 실스마리아,8.17
41,20200801,몽상가들,8.11
42,20200801,야구소녀,8.08
43,20200801,존 윅,7.94
44,20200801,아들,7.86
45,20200801,결백,7.61
46,20200801,호우시절,7.38
47,20200801,조디악,7.37
48,20200801,유령선,6.31
49,20200801,반도,5.95
50,20200802,가버나움,9.59
51,20200802,위대한 쇼맨,9.40
52,20200802,알라딘,9.38
53,20200802,소년시절의 너,9.36
54,20200802,에이리언 2,9.35
55,20200802,다크 나이트,9.34
56,20200802,시네마 천국,9.31
57,20200802,패왕별희 디 오리지널,9.31
58,20200802,우리들,9.25
59,20200802,피아니스트의 전설,9.25
60,20200802,톰보이,9.22
61,20200802,스타 이즈 본,9.18
62,20200802,샤인,9.08
63,20200802,미스비헤이비어,9.05
64,20200802,타오르는 여인의 초상,9.05
65,20200802,미져리,9.02
66,20200802,"안녕, 나의 소울메이트",8.98
67,20200802,온워드: 단 하루의 기적,8.97
68,20200802,미션,8.92
69,20200802,시티 오브 갓,8.84
70,20200802,미녀와 야수,8.78
71,20200802,소공녀,8.77
